,name
0, R Kitchen
1, Tomato's
2, The Project Cafe
3, Kabir Restaurant
4, Choice Restaurant
5, Garden Cafe
7, Kailash Parbat
9, Spinning Tomato's
10, That Place
11, Curries
12, Oswal Restaurant
13, Bawarchi
14, Tinello
15, Millhouse
16, Freeze Land
17, Honest
20, Bon Homie
21, Hotel Page One
22, Dinner Bell Restaurant
23, Hotel ZK
24, Havmor
25, Khichdi Etc
26, Bayleaf
27, TGB
28, Honest Restaurant
29, GAD
30, Gwalia Restaurant
31, Prime Dine
32, 70 Degrees East
33, Gardenia
34, Gopi Dining Hall
36, Jay Bhawani Vadapav
37, Vishalla
38, Udipi Cafe
39, Shiv Shakti Kathiyawadi
40, Mehmaan Gujarati Dining Hall
41, Pleasure Trove
42, La Pino'z Pizza
43, The Trophy
44, Awadhpuri
45, Cellad Eatery
46, @Nine
47, Jassi De Parathe
48, Jacaranda
49, Atithi
51, Bikanervala
52, Induben Khakhrawala
53, Asia Kitchen
54, Mint Route
55, Kunal Restaurant
56, Evening Post The Restaurant
57, New FreezeLand
58, Manek Chowk Food Court
59, TBBQ
60, Dadi Dining Hall
61, Sizzante Sizzlers & More
62, The Raj Thaal
63, The Cafe Baraco
64, Sasuji
65, Simran Farm
66, Vaibhav Restaurant
67, Nutan Restaurant
68, Choice Snack Bar
69, Skyz Restaurant & Banquet
70, Poetry
71, Capsicum
72, Havmor Eatery
74, Sankalp Restaurant
77, Cafe Piano
78, Radhika's
79, Crazy Noodles
80, Aureate At Eldorado
81, Essence - All Day Dining
82, Das Khaman House
83, Unlocked
84, US Pizza
85, Kuro - The Asian Bistro
86, Ellisbridge Gymkhana
87, The Esplendido
88, Ikobo Sizzlers
89, Eat Punjab
90, Café Treat
91, Food Inn Restaurant
92, Swati Snacks
93, Dakshinayan
94, Shiv Sagar Restaurant
95, Village - The Soul of India
96, Saffron
97, Wok on Fire
98, The Eatery
99, Bombay Street Cafe
100, Honest Prahlad Nagar
101, Curries Restaurant
102, Urban Khichdi
103, The Green House
104, Mr & Mrs Somani
105, Fresh Roast- Ahmedabad
106, Kbob's
107, Ame Gujarati
108, Shree Marutinandan
109, Havmor restaurant Gurukul Ahmedabad
110, Gormoh
111, Toran Dining Hall
112, How Does It Matter
113, Narmada Restaurant
114, Varanasi True Flavors Of India
115, Zodiac
116, Puffizza
117, Barbeque World
118, The Square
119, Global Desi Tadka
120, New Irani Restaurant
121, Pepperazzi
122, Subway
123, Saffron Restaurant
124, Patang
125, U S Pizza
126, Nautanki Gastronomical Drama
127, Pizza Hut
130, Mankechowk Night Eatery
131, Chai Wai
132, Mirch Masala
134, Pakvan
136, Rajwadu
137, 650 - The Global Kitchen
138, Tomatoes the Diner
139, Hyderabadi Hut
140, Nini's Kitchen
141, Excite Bite
142, Epitome Restaurant
143, Qwiches
144, Sigdi Restaurant
145, Upper Crust Restaurant
146, Timpani
147, Momoman
148, Kadhai
149, Mosaic Country Inn & Suites By Carlson
150, Pakwan Dining Hall
151, hyderabadi biryani
152, Shamiana
153, @Mango
154, Madhuli Restaurant
155, Kovallam: The South Indian Kitchen
156, Mainland China
157, Barsana
158, Yash's Lounge & Bistro - GBT
159, The Grand Thakar
160, Barbeque Nation
162, Dravida - The Fern
163, Municipal Market
164, Caffix-The Tech Cafe
165, Jassi da Parantha
166, Mehta Sweet & Restaurant
167, Earthen Oven
168, Sasuji Dining Hall
169, Mocha CG Road
170, 1944 Restaurant by Havmor
171, TG's-The Oriental Grill
172, Thakar Thal
173, Iscon Thal
174, Narayani Heights
175, Yanki Sizzlers
176, China House
177, Annkut
178, Toritos Restaurant
179, Sankalp
181, Silver Leaf Bistro
182, WoW Mughlai Handi and Bbq Grill
183, Lollo Rosso
184, VarieTea
185, Collage Ahmedabad
186, AWADH PURI
187, Huber & Holly
188, MoMo Cafe
189, Novotel
190, Philosophy Clubb
191, Citrus Cafe
192, Bella
193, Cafe Alfresco
194," River View, SAROVAR PORTICO"
195, The Jungle Bhookh
196, Madhavrao
197, m.a.d by Tomato's
198, Seva Cafe
199, Agashiye
200, Honest C G Road
201, Zen Cafe
202, Dhoom Dhaam
203, The Great Kabab Factory
204, Cafe Upper Crust
205, Birmies
206, Lucky Tea
207, Olives Restaurant
208, Ahmedabad's Food Truck Park
209, Wagh Bakri
210, The Vintage Village
211," Kabab Factory,Radisson Blu Ahmedabad"
212, Spices Of Awadh
213, Sandwichworkz - the fusion street cafe
214, Hotel Moti Mahal Restaurant
215, 440 Restaurant
216, Waterside Restaurant
217, Gordhan Thaal
218, Jasuben's Old Pizza
219, Magic Chicken
220, Gordhan Thal
221, Stuff's Food
222, Shakti The Sandwich Shop
223, The Blue Oven
224, Sam's Pizza
225, All Day Dining
226, Rangeen
227, Turquoise Villa
228, Maruti Dining Hall
