,name
0, Mango Masala Restaurant
1, Kharwa Bagh Farm Restaurant
2, Hard Rock
3, The Lake Cafe
4, The Sixth Sense
5, Inbox Restaurant And Cafe
6, Travelers Boutique Pushkar
7, Jaigarh Restaurant
8, Fika Cafe
9, Honeydew cafe
10, Sunset Cafe
11, Narayan
12, Everest Cafe
13, Ganga Laffa & Felafel Restaurant Pushkar
14, Little Italy Pizzeria
15, Deja Brew
16, Out Of The Blue
17, Pizzeria Amore
18, Om shiva Garden Restaurant
19, Tibetan Kitchen
20, Cafe Lake View Pushkar
21, Tyagi's Rooftop Restaurant
22, Mamasita Cafe
23, A Blue Star
24, Hugs & Mugs Cafe
25, Mango Curry
26, Coffee Temple
27, Honey & Spice
28, Cafe Pushkar & Pizzeria
29, Little Tibet Restaurant
30, Mystic Lotus
31, Niyama Cafe & Restaurant
32, Un-Earth
33, Cafe Shanti Munch
34, TRM Restaurant
35, La Pizzeria
36, Rainbow Restaurant
37, Shri Vankatesh restaurant
38, Om Baba Roof Top Restaurant
39, Honeydew Restaurant
40, Fragrance Of India
41, The Foodland
42, Silver Leaf Restaurant
43, Ambrosia Restaurant
44, Funky Monkey Cafe
45, The Laughing Buddha Cafe
46, Cafe Nature's Blessing
47, Baba Restaurant
48, Rasoi
49, Tiko's
50, Nirvana cafe and pizzeria
51, IL Padrino Pizza Garden Restaurant
52, Buddha Cafe
53, Laura's Cafe
