,name
0, Kebabs & Kurries
1, The Raj Pavilion
2, Uno
3, Shiv Sagar
6, Waffle Magic
7, Rasaganga
8, Intalia
9, 4 Seasons
10, Cafe 60 Four
11, Hotel Dwaraka
12, The Biere Club
14, Kitchen of Joy
15, Andhra Ruchulu
16, Tiwari's Ghee Paratha & Chai
17, Bonsouth
18, 1947
20, Konark Kanteerva
21, The Fat Fanny's Cafe
22, Adyar Anand Bhavan Sweets
23, Chianti Indiranagar
24, Momo Jojo
25, Legends of Rock
26, Dhaba by Claridges
27, The Marina
28, Watson's
30, M Cafe
32, Slounge
33, Pindi
34, Sukhsagar
35, Food Street / Thindi Bheedi
36, Thanima
37, Koshe Kosha - Bengali cuisine
38, Olde Bangalore Resort & Convention Centre
39, Doff Pub and Lounge
40, Wow! Momo
41, Smaash
42, R Royal Rajasthan
43, Matsuri
44, Cilantro
45, Churchill's Restobar
46, Millers 46
47, Salt
48, Bierre Republic
49, Andhra House
50, Khaaja Chowk
51, Tunday Kababi
52, Elements Eatery
53, Bay Leaf
54, Andhra Kafe
55, Melange
56, 154 Breakfast Club
57, Srinathji's Fine Dining Restaurant Indira Nagar
58, South Indies
60, The Irish House
61, Cafe Buzzinga
62, Umerkot
63, TGIF
65, Mtr Maiyas Restaurant
66, Habanero
67, Europa 360
68, Chai Point
70, Thalassery
71, Lakeview Milkbar
72, Bamey's Restro Cafe
73, Hoppipola - All Day Bar & Bonhomie
74, Kentacky Chicken Corner
75, The Grub Hub
76, Garam Naram
77, Peacock
78, Paradise
80, Little Italy
82, The Oriental Spice
83, Chili's
85, La Tagliatella - Bangalore
86, The Studio Bar
87, Cafe Rossini
88, Foody's
89, Huliyappa's Donne Biryani
90, D'hide Cafe
91, Shift
92, Smoke House Deli
93, Bombay Brasserie
94, Raidan Restaurant
95, Jimis Beer Cafe
97, Shivbhoj
98, Barbeque Nation
103, Isys
104, The Esplanade
105, Ballal Residency Resturant
106, Kanti Sweets
108, Spice It
110, Herbs and Spice Indira Nagar
111, Nandhana Palace Indiranagar
112, Tiffin Express
113, Northams Pizza Pita
114, Savi Sagar
115, Vera Italiano
116, Tiamo
117, Toscano
118, Liquid Lounge and Bar
119, Adithya Restaurant
120, Kabab Mandra
121, California Burrito
123, Puchkas
125, New Modern Bhavan
126, 9th MILE DHABA
127, Tea and Wine Lounge
128, Chicken County
129, Sangam Sweets
130, Chung Wah
133, Pablo's Gastrobar
134, Iyer Mess
135, HwealthCafe
136, Liber
137, Farzi Cafe
138, Legacy Of Punjab
139, Herbs And Spice Restaurant
140, Yumlok
141, Mudde Madappa Mess
142, Hotel Fish Land Restaurant
143, Ajanta Restaurant
144, KLINX
145, Smoked Out Barbecue
146, Onesta
148, Vasudev Adiga's Fast Food
151, Anjappar Chettinad
152, Shanmukha Restaurant
154, Smoke - The Sizzler House
155, Adyar Ananda Bhavan
158, Elongo's
159, Sutra
160, Sorse
161, MTR
162, ITALIA
163, Cinnamon
165, Tata Cha
166, The Salt Grill
167, Beijing Bites
173, Havelli
174, Oota Bangalore
175, Kalkal Kai Ruchi
176, Srinathji's
177, Momoz
178, Simply Indian
179, Zaica Dine & Wine
180, Fire Station
181, Baba Chatkora
182, Purple Haze
183, Samarkand
184, Sukh Sagar
187, Teppan
188, Chef Baker's
189, Kamath Restaurant
190, West Wood Restaurant
191, Pizza Hut
194, The Beer Cafe
196, Fine Flavors
