,name
0, TAO-Tattenham Across the Orient
1, La Kuchina
2, Winds n Waves
3, Za-aiqa
4, Shaan E Bhopal Rail Restaurant
5, Cafe-Chino
6, Under The Jamun Tree
7, Nerbada Sweets & Restaurant
8, Bay Leaf
9, Shahnama
10, 10 Downing Street Bhopal
11, Chi Chicken
12, Arya Bhawan
13, Hakeems Restaurant
14, Marble Arch
15, Milan Namkeen
16, MoMo Cafe
18, Ming Dynasty
19, Arera Club Bhopal
20, Naveen's Bapu Ki Kutia
21, Under the Mango Tree
22, Taste of India Restaurant
23, ZAUQ
24, Manohar Dairy & Restaurant - Hamidia Road
25, The Public House Cafe & Restaurant
26, Raw the Restrobar by Chef AJ
27, Manohar Dairy and Restaurant - MP Nagar
28, Bapu Ki Kutia
29, Indian Coffee House
30, Yi Jing
31, Kebabs & Kurries
32, Le Cafe
33, Ulavacharu
34, Ohm
35, 10 Downing Street
36, Chutney Restaurant
37, Ohri's Gufaa
38, Fusion 9
40, Rajdhani Thali
41, Kritunga Restaurant
44, Dil Punjabi
45," Republic of Noodles, Lemon Tree Hotel Gachibowli"
46, Zega
47, Rayalaseema Ruchulu
49, Khaan Saab
51, Ram's Dosa House
52, Angeethi
54, Siddique Kebab Corner
55, Pi
56, Palace Heights
57, Nautanki Gali
58, Little Italy
60, Cayenne
61, Atrium Restaurant - Taj Deccan
62, Jewel of Nizam – The Minar
63, Ninety Six Bar
64, Haiku
65, United Kitchens of India
66, Kakatiya Deluxe Mess
67, Over The Moon
68, Southern Spice
69, Paradise - Gachibowli
70, Ohris De Thali
71, Orchid
72, The Sky Lounge
73, Saffron Soul
74, Dine Hill
75, Barbeque Nation
78, Stone Waters
79, Tollgate
80, Coco's Bar & Grill
81, Punjabi Affair
82, Chutney's
84, Taj Mahal Hotel
85, Ram Ki Bandi
86, Minerva Coffee Shop
89, Soda Bottle Opener Wala
90, Okra
91, Ohris Jiva
92, Gol Bungalow at Taj Falaknuma Palace
93, Flying Spaghetti Monster
94, Chillis
95, Govind Bundi
96, Farzi Cafe
97, Ohris Tadka
98, Abids Bistro
99, Dakshin
100, Mainland China
103, Water Front
104, Ginger Court Bar & Restaurant
105, Rotis
106, Glocal Junction
107, The Spicy Venue
108, Srikanya Comfort
109, Mystique - Marigold by GreenPark
110, Spice 6 The Global Cuisine
111, Collage
112, Paradise Restaurant
115, Sage Farm Cafe
116, Paradise Food Court
118, Chutneys
124, Tatva Restaurant
125, Udipi's Upahar
126, Kamat Hotel Restaurant
130, Indus - Coffee Shop & Multi-Cuisine Restaurant
131, Eat India Company
133, 13 Dhaba
134, Nanking Chinese Restaurant
135, Bowl O China
136, The Square
137, Ciclo Cafe
138, Roastery Coffee House
139, Shadab
140, CIBO House
141, Prego
142, Zaiqa -E- Hyderabad
143, Kebab Theater
144, The Bar Novotel Hotel Restaurant
145, Paradise
146, Mamagoto
147, House Of Dosas
148, Maharaja Chat Bandar
149, Slounge
150, Nanking
151, Mekong
152, SYN Asian Grill & Bar
153, Shahi Dastarkhwan
154, 36 Downtown (Vapour) - Brewpub Diner
155, Chinese Pavilion
156, Basil
157, Sri Kanya
158, Palamuru Grill
160, Abhiruchi Hotel Restaurant
161, 4 Seasons
163, Paradise Persis Silver
164, Deccan Pavilion
165, Amara
166, Serengeti Restaurant
167, Shubavsar
168, Paradise Takeaway
169, Hotel Sweekar Restaurant
170, Deli 9 Bistro
171, G.Pulla Reddy Sweets
172, Tim Tai
173, Plaza Premium International Departure Lounge
174, blue fox
175, Santosh Dhaba
176, Tiki Shack
177, Paradise Biryani - Begumpet
178, Thinespo
179, Aura Cafe
180, Rajdhani
181, Talking Hands Restaurant
182, 100 Degree
183, Jewel Of Nizam
184, Angaara Restuarant
185, Blue Fox Fine Dining Restaurant
186, The Grill
187, Oakleaf
188, Chaitanya Food Court
189, Nayaab Hotel Restaurant
190, Kamath Hotel Restaurant
191, Sigree Restaurant
192, Spice Junxion
193, McDonald's
194, Ruci & Idoni
195, The Grand Trunk Road Restaurant
196, Dhaba By Claridges
197, Utsav The Veg Restaurant
198, Fat Pigeon - Bar Hop
199, Central Biryani Paradise
200, Heart Cup Coffee
201," Absolute Barbecues - Jubilee Hills, Hyderabad"
202, News Cafe
203, Burger King
204, Circles
205, Yum Yum Tree
206, So. The Sky Kitchen
207, Via Milano
208, Ohri's Mehfill
209, Chicha's
210, Food Exchange
211, Jalpaan
212, Pista House
214, Bikanervala Hyderguda
215, Sri Shyam Nivas Boarding & Lodging
216, Mandi @ 36 Arabian Kitchen
217, Mandar
218, Nabanno
219, Extreme Sports Bar
220, Bawarchi
221, Hotel Basera
222, Chili's American Grille
223, Cafe Sandwicho
224, Hotel Swagath Grand
225, Cascade
226, Ohri's Jiva Imperia
227, Free Flow - Traffic Bar
228, Mix
229, Ohris Food Court
230, Aromas of China
231, Blue Fox Bar and Restaurant
232, Ohri's 70 MM
233," Absolute Barbecues - Banjara Hills, Hyderabad"
234, Santhosh Family Dhaba
235, Casbah
236, Subway
237, Habanero
238, The Mustang Bar
239, Indiblaze
240, New Santosh Dhaba
241, Biryanis and more
242, Thai Pavillion at Hotel Vivanta by Taj
243, Tabla
244, Barbeque Pride
245, IKEA Restaurant
246, Ofen
247, Dum Pukht Begum's
248, Rush Sports Cafe & Bar
249," 3B's - Buddies, Bar & Barbecue"
250, Seventh Heaven
251, Indijoe
252, Norfest The Dhaba
253, Lost Society
254, Cafe Bahar & Restaurant
255, Haveli
256, Flechazo
257, Blue Fox
260, Bikanerwala
261, Haiking
262, Karma
263, Banana Leaf
264, Swathi Tiffins
265, Papaji Ka Dhaba
266," Republic of Noodles, Lemon Tree Premier Hyderabad"
267, 1857
268, The Pasta Bar Veneto
269, Sahib's Barbeque
270, Main land china
271, Tibbs Frankie
272, Sukha Sagara
