,name
0, R&G - GreenPark Chennai
1, Pan Asian
2, Thaligai Restaurant
3, The Kitchen
4, Shree Mithai
5, Barbeque Nation
10, Kumaragam Restaurant
11, WelcomCafe Marina
12, Spice Haat
13, Saravana Bhavan
17, Nair Mess
18, US 101 - The Resto Bar
19, Coastline
20, Krishna Restaurant
21, Savoury Sea Shell
23, Tuscana Pizzeria
25, Madras Pavilion
26, Sera The Tapas Bar & Restaurant
27, Lotus Thai
28, Anise
29, Illusions the Madras Pub
30, Bombay Brasserie
32, Palmshore Restaurant
34," Piano, Savera Hotels"
35," The Square, Novotel Chennai Sipcot"
36, 1947
37, Main Street - The Residency Towers
38, The Dakshin Restaurant
39, Mamagoto
41, Soy Soi
42, Sunset Grill
43, Sangeetha Veg Restaurant
46, Hotel Saravana Bhavan
52, Hamsa
53," Malgudi Southern Cuisine, Savera Hotel"
54, Kipling Cafe
55, Diff42
56, Board Walk Restaurant
57, Va Pho
58, Fully Local Restaurant
59, The Golden Dragon
60, Salt - Indian Restaurant
61, Sigree Global Grill
64, Paprika
65, Southern Aroma's
66, Little Italy
68, Buhari
69, Karaikudi Chettinadu Restaurant
70, Sangeetha
71, Cream Centre
74, Karpakambal Mess
75, Shiraz Cafe
76, Eden Vegetarian
77, AB's Absolute Barbeques
78, Dunkin Donuts
79, Pakwan Chennai
80, Ottimo Cucina Italiana
81, Woodlands-NGS
82, Zaitoon
84, Prive Restaurant
85, Madurai Kumar Mess
86, The Lobby Cafe
87, Once Upon A Time
88, Earthen Oven
89, The Leather Bar
90, Shyams Bombay Halwa House
91, Cafe Mercara Express
92, Sanjeevanam
93, Shri Rajasthani Dhaba
94, Symphony
95, Radio Room
96, Maplai
97, That Madras Place
98, High
99, Buhari Hotel Restaurant
100, Zaitoon Restaurant
101, Stix
102, Dakshin
103, Pantry D'or
104, Adyar Ananda Bhavan
109, Fromage
110, Paradise
112, Salt.Co.531 Kitchen & Bar
113, Murgan Idli Shop
114, Jonah's Bistro and Patisserie
115, Wangs Kitchen
116, Hotel Shri Balajee Bhavan Restaurant
117, Kefi
118, Azzuri Bay
119, Fusilli Reasons
120, The Residency
121, Eden
122, Haven Sampoorna
124, Grand Sweets and Snacks
125, Paati Veedu
126, Rajdhani Thali Restaurant
127, Gatsby 2000
128, Murugan Idli Shop
134, Moti Mahal Delux
136, Gossip Fusion Bistro
137, Rhapsody
138, Buzz
139, Aqua
140, Sree Agarwal Bhojanalaya
141, Cafe G
142," Seagull, Fisherman's cove"
143, Bike & Barrel Bar
144, Thambi Vilas
145, Thalapakattu Biryani
146, Mathsya
147, Broken Bridge Cafe Indian Restaurant by Radioroom
148, Club House
149, Apoorva's Sangeetha Veg
150, The Velveteen Rabbit
151, L'amandier
152, Eating Circles
153, Absolute Thai
154, Kumarakom
156, Soul Garden Bistro
158, Cascade
159, Tangerine
160, Mainland China Asian Kitchen
161, C Salt
162, The Flying Elephant
163, Hotel Saravana Bhavan Restaurant
168, Q Bar
169, The Farm
170, Mahamudra Restaurant
171, B R Mathsya
172, Rain Forest
173, Hotel Junior Kuppanna Restaurant
175, Spice It
176, A2 - The Park Chennai
177, Southern Spice
178, SAMASA
179, Library Blu
180, Bhangra
181, Nasi Kandar Pelita
182, Kayal
183, Food Nirvana
184, Mustang
185, Sea Shells
186, The Marina
187," Spice Jar - The Residency,Chennai"
188, Novelty Tea House
190, Flower Drum
192, Krishnavilasam
193, Savya Rasa
194, Sri Krishna Sweets
196," Taj Gateway, I.T Expressway, OMR road"
197, Jalpaan
199, Deck 4
200, Annalakshmi Restaurant
201, Fuji Japanese Restaurant
202, Extase
203, Kakada Ramprasad
204, Onesta
205, The Brick Oven
206, Kailash Parbat
207, Dindigul Thalappakatti
210, Animal Kingdom
211, Score - The Sports Bar & Grill
212, The Oriental Blossom
213, Cappuccino
214, Gangotree
217, Amma Chettinadu Restaurant
218, Sangeeta Fast Foods Restaurant
219, Kebab factory
220, PALMSHORE RESTAURANT
221, Ratna Cafe
224, Sigri
225, Navaratna
226, Up North
227, Menaka
228, Amaravathi Restaurant
229, Triplicane Ratna Cafe
230, East Coast at Madras Square
231, Ali's BBQ & Grill
232, Nithya Amirtham Restaurant
233, Kapila Dasa
234, AFOOZO Ginger Hotel Vadapalani
235, Prego
236," Oasis, Radisson Blu Hotel, Chennai City Centre"
237, Spaghetti Kitchen
238, A2B Veg Restaurant
239, Sree Akshayam
240, Sangeetha Vegetarian Restaurant
241, Wire Room
242, Anjappar Chettinad Restaurant
244, Upper Deck
245, Vasco's
246, Tulips
247, Waves Bar & Lounge
248, Sangeetha's Desi Mane Vegetarian Restaurant
249, Virudhunagar
250, Delhi Highway
252, The Cascade
253, The English Tearoom
254, LIttle Italy
255, Chili's
256, Vintage Bank
257, Benjarong
258, Beyond Indus
259, Parwani's Bombay Halwa House
260, Twenty Fifth Hour
261, China Town
262, Tryst Cafe
263, Dahlia
264, Amelie's
265, Adayar Ananda Bhavan
266, Orange Wok
267, Olivers at Deccan Plaza
268, Tuscana Pizzeria on ECR
269," PICCANTE, Pizzeria & Bar"
270, Sigree
272, Dhaba by Claridges
273, Entree
274, Pupil
275, The Cheroot Malt & Cigar Lounge
276," Absolute Barbecue - T-Nagar, Chennai"
277, Sea Breeze
278, Sea Crest Restaurant & Bar
279, Maris Hotel
280, Zodiac
281, Thoondil The Family Restaurant
282, Grill Box
284, ID
286, Chin Chin
287, Domino's Pizza
289, Bombay Halwa house
290, Namma Veedu Vasantha Bhavan
291, Ponnusamy Hotel Restaurant
293, Adyar Ananda Bhavan Sweets & Snacks
294, Basera
295, M'bessy
296, Bharat Bistro
297, Tovo Infusions
298, Mansukh Sweets & Snacks
299, Travel Club
300, On The Rocks
301, Center Point
302, Moti Mahal - Robot Themed Restaurant
303, North East Kitchen
304, Blend
305, The Dynasty
306, Courtallam Border Rahmath Kadai
307, Mishwar
308, Tranquebar
309, Bindaas Rasoi
310, Amma
311, Teppan
312, MASH Restocafe
313, BoardWalk Poolside Restaurant
314, 747 Theme Restaurant
315, Rajputana
316, Royal Vega
317, Pergola
318, Hotel Virudhnagar Chettinad Restaurant
319, Hola Restaurant
320, Skyloft
321, Burger King
322, New Yorker
323, Vasantha Bhavan
325, Geoffreys The Pub
326, Murugans Idli Shop
327, Buhari Restaurant
329, Nutcracker
330, Aasife and Brothers Biriyani Centre
331, Sri Motel Highway
332, Saravana Bavahan
333, New Town
334, Mezze
335, J.Hind
336, The Fat Boy
337, Aasife Briyani
338, Ashvita Bistro
339, Kasi Vinayaga Mess
340, Bay146
341, Hotel Junior Kuppanna
342, Madrasapattinam
343, Mansukh's Sweets & Snacks
344, Loiee Mithai & Rasoi
345, The Waterfall Restaurant
346, Shanghai Annaachi
347, VB Signature
348, Hotel Paramount Restaurant
349, Kobe Sizzlers
350," Poolside Sunken Bar, Taj Fisherman's Cove"
351, Faruuzi
352, The Chinese Story
353, The Raintree
354, Amdavadi
355, Mainland China
357, Copper Chimney
359, The Pasta Bar Veneto
360, Abhinandan
361, Holy Grill
362, Kailash Kitchen
363, Shri Gujarati Mandal
364, Above Sea level
365, The Dome
366, Chap Chay
367, The Society Restaurant
368, Ajnabi Mithai Ghar
369, Dhaba Express
370, Delhi Dhaba
371, Sarvana Bhavan
372, Punjabi Nation
373, Kailash Parbhat
374, Isha Life Fitness - Shambhavi restaurant
375, Sangeetha Okadey
376, 27 Culinary Street
377, Copper Chimney - Cathedral Road
378, Copper Kitchen
379, Agarwal Bhavan
380, Hot Chips
382, Kim Ling
383, Sukkubhai Biriyani
384, Mainstreet
385, BOATS Based On A True Story
386, DiMoRa
387, Meena Tai's
388, Ajanabi
389, Ayna
390, Hub at Ecr
391, Hotel Balaji Bhavan Restaurant
392, Shri Balaajee Bhavan
393, Est
394, Quality Hotel Restaurant Sabari Classic
395, A2B Adyar Anandha Bhavan
396, The Grand Sweets & Snacks
397, Bazaar
398, Hotel Crescent Restaurant
399, Sangeetha Fine Dine
400, Grand Siam
401, Asian Station
402, Dakshina Puram
403, Downtown Cafe
404, Chai Galli
405, Kappa Chakka Kandhari
406, Madurai Sri Thevar Hotel Restaurant
407, Wang's Kitchen
408, Kuttanad Restaurant
409, Willows Lounge Bar
410, Six 'O' One
411, Kovai Alankar Vilas Restaurant
412, Crimson Chakra
414, Evoke Bistro - Bar and Grill
415, Hola
416, Chipstead
417, Rathna Cafe
418, The Great Kabab Factory
420, Keys Cafe
421, Anjappar
422, Grillz
423, Kabul
424, Savoir Sea Shell
425, Namma Veedu Vasanta Bhavan
426, Prems Graama Bhojanam
427, Opal Inn Restaurant
428, Bhatinda Xpress
430, Chennai Woodlands
431, Eatza Pizza
432, Cilantro
433, Junior Kuppanna
434, Samudra
435, The Padrino
436, Petuk
437, Plan B
438, Seasonal Tastes
439, Vrindavan Restaurant
440, Jamavar
441, The Westminster
442, Cafe de Paris
443, Colony
444, Mainland China - Anna Nagar
445, GhumaGhumalu Andhra Mess
446, Rasavid
448, Writer's Cafe
449, I D
450, Slounge
451, Cleo's Grill & Cafe
452, Dakshinapuram
453, Kaidi Kitchen
454, The Verandah
455, BR Mathsya
