,name
0, Thyme
1, K3
2, Hauz Khas Social
3, Swad
4, Pind Balluchi
8, Matchbox
9, Royal Restaurant
10, Studio Xo Bar
11, Jungle Jamboree
13, Cafe Turquoise Cottage (CAFETC)
14, Ping's Cafe Orient
15, Playboy Cafe
16, Udupi Cafe
17, Gurdev Punjabi Restaurant
18, Dilli Dastarkhwan
19, Cafe Connect
20, Ploof - Gourmet Kitchen & Deli
21, Bijoli Grill
23, All Heavens Gold
24, Sandoz
25, Threesixty Degrees
26, Paranthe Wali Gali
27, Ghalib Kebab Corner
28, Joy Luck Moon
29, Subway
33, Number 8
34," SFC, Soya Chaap"
35, Naivedyam
38, Lama Kitchen
39, Attitude Kitchen & Bar
40, The Yellow Chilli
41, Abongchiiz
42, Ovenstory Pizza
43, Laidback Cafe
44, CAPITOL
45, Fresco Restaurant
46, Invitation
47, Farzi Cafe
49, Sam's Bar and Restaurant
50, 1Up
51, Symposium
52, Haldiram's
63, Jamie's Pizzeria
64, Chidya Ghar
65, TGI Friday's
66, Berco's Restaurant
68, Food Mechanic
69, Global Food Factory
70, Krishna Roof Top Cafe
71, Karims Hotel Restaurant
72, Wah Ji Wah
73, S Bar & Restaurant - Shalom
74, SodaBottleOpenerWala
75, Krips
76, Hwealth cafe
77, Moonshine Cafe & Bar
78, Govardhan Vegetarian
79, Over The Top
80, Zeppelin
81, Cafeteria & Co
82, Domino's Pizza
88, Market Cafe
89, Biryani Blues
91, Dhaba - Estd 1986 Delhi
92, Cafe Brown Sugar
93, Barbeque Nation
101, Locale
102, Nando's Epicuria
103, Adyar Anand Bhavan
104, Sagar Ratna Restaurant
106, Cantino
107, Olive Bar & Kitchen
108, Pikwik
109, Pt. Babu Ram Devi Dayal Paranthe Wale
110, Nirula's Express
111, Satyam Rooftop Restaurant
112, Daryaganj Restaurant (Aerocity)
113, Nazeer Foods
115, hotel Le Roi Restaurant
116, Oriental Octopus
117, The Exotic Roof Top Restaurant
118, Jalebi Wala
119, Saravana Bhavan
121, NATHU'S SWEETS
122, RBG Bar & Grill
123, Kill The Bill
124, Perch Wine & Coffee Bar
125, Mealodrama
126, La Americana
127, The Chatter House
129, Southy
130, Punjab Grill Khan Market
131, The Beer Cafe
136, Have More
137, Shree Rathnam
138, Kolkata Biryani House
139, Bliss Bakery
140, Urban Cafe
141, Cafe Knosh
142, Mac Donalds
143, Lord William Tea Lounge
144, Pind Bulluchi
145, Kylin Express
146, Peshawari Chicken Corner
147, Saleem's Restaurant
148, InstaPizza
149, Tee Dee
150, Kebabs & Kurries
151, Tamil Nadu House Canteen Chanakyapuri New Delhi
152, Twenty9
153, Coast Café
154, Tibet Kitchen
155, Lucknow Wale Tunday Kababi
156, Mamagoto
161, Caramelo
162, Kylin Experience
163, Box Office Cafe
164, San Gimignano
165, Green Lounge
166, PRANTHA WALA
167, Diggin
170, Alaturka Doner Kebab & Falafel
171, Khandani Rajdhani
172, Singla's Sweet
173, My Bar Grill
174, The Big Chill
176, Chungwa
177, Hard Rock Cafe
178, My Bar Lounge & Restaurant
179, Cafe Delhi Heights
185, Imperfecto Ruin Pub
186, Biryani By Kilo
187, Enoki
188, Wow! Momo
189, Duty Free
190, Shanghai Club
191, World Art Dining
192, Dilli Haat
193, Capital Kitchen
194, Lemon Drops
195, Jugaad Cafe
196, Jazbaa
197, A2B Veg Restaurant
198, Lord of the Drinks Forum
199, Veda
200, Gola Sizzlers
202, Atrium Bar Surya New Delhi
203, Fat Lulu's
204, Barcelos
206, Lodi The Garden Restaurant
207, Daitchi
208, The Irish House
209, JUGGERNAUT
210, Sagar Ratna
215, Pizza Hut
219, Swagath Restaurant & Bar
221, Chor Bizarre
223, Afternoon tea at the Imperial Hotel Delhi
224, Manjeet chicken corner
225, Karnataka Food Centre
226, Infinity
227, The Darzi Bar & Kitchen
228, China Garden
230, The Bikers Cafe
231, Qureshi's Kabab Corner
232, Thalaivar
233," Bikanervala, Lajpat Nagar"
234, TLR Cafe
235, Kwality Restaurant
236, Oh My God
237, Mahabelly
238, What A Comic Show
239, Green Chick Chop
240, Berco's Dwarka
241, Rajinder Da Dhaba
242, Cafe Wink
243, Uncultured Cafe And Bar
244, Karim's
248, le meridan hotel india delhi
249, 24/7 Restaurant
250, Londoners Bistro & Pub
251, Rajdhani Thali
252, The Golden Dragon
253, The Hong Kong Club
254, Pindi
255, Guppy
256, Sanadige Delhi
257, Barichi Restaurant & Bar
258, Tadka 4986
259, Spice Market
260, Taksim Restro Bar
261, Lord of the Drinks
262, TGIF Noida
263, United Coffee House
264, Golden Fiesta
265, 1911 Restaurant
266, Plum by Bent Chair Delhi
267, Stone
268, Raftaar Lounge and Bar
269, Life Caffe
270, Juniper Bar
271, Chew
272, Lakhori-Haveli Dharampura
273, Big Yellow Door
275, The Post Office Cafe
276, Sixth Empirica
277, Midnight Hunger Hub
278, Jade
279, Moti Mahal
282, Town Hall
284, Chai Point
285, Golf Bar
286, Majeed's
287, Carnatic Cafe Gk 2
288, Sufiaana
289, Republic Of Noodles
290, Momo Mia
291, Kheer at Roseate House
292, Masala Art
293, La Piazza
294, Veg Gulati
295, Roasted by Roseate at Vasant Kunj
296, Odeon Social
297, Daniell's Tavern
298, Dhaba
300, The Punterhouse Cafe Reloaded
301, Karen Cafe Roof Top
302, Calendar's kitchen
303, Megu
304, YWCA Kitchen
305, Indyaki
306, Jamun
307, Lazeez Affaire
309, Machan
310, Cafe Southall
311, Monkey Bar Delhi
312, CCD Lounge
313, Pebble Street
315, Select City Walk
316, Delhi Club House
317, QBA
318, Prabhu Chaat Bhandar
319, The Indian Grill
320, Viva - All Day Dining
321, The California Boulevard
322, Shree Bhagatram
323, The China Kitchen
324, Re Cafe and Bar
325, Informal By Imperfecto
326, IAH Bar
327, Cafe Tonino
328, Swagath
329, Ardor - Restaurant and Lounge
330, Royal China
331, Clay 1 Grill
332, Boombox Cafe
334, Al-Bake
335, Dilli 32
336, Spice Art
337, Warehouse Cafe
338, Omya
339, Tippling Street
