,name
0, Cafe G
1, Biryani Blues
2, The Great Kabab Factory
3, Artusi Ristorante in Piazza
4," Cocktails & Dreams, Speakeasy"
5, Friction The Drinkery
6, Ryu Bar
7," The Beer Cafe, CyberHub"
8, Burma Burma Restaurant and Tea Room
9, Viet:nom
10, George
11, Dana Choga
12, Nagai
13, Dhaba by Claridges
14, Naivedyam
15, Helix - The Celestial Bar
16, Sahib Sindh Sultan
17, Zanotta
18, Culture Gully
19, Sakley's - The Mountain Cafe
20, Karnataka
21, Daryaganj Restaurant (Ambience Mall)
22, Burger Hut
23, Green House - The Beer Garden
24, Striker Pub and Brewery
25, Sandhouse Cafe
26, Town Hall
27, Vapour Grill
28, Pra Pra Prank
29, Big Wong
30, Saleem Javed Rule The Rolls
31, Fresc Co
32, Cafe NH8
33, Panchavati Gaurav
34, Haldiram's
35, Salad Days
36, Hyatt Regency
37, Strikers Skybar
38, Mala-Akbari
39, Panchgaon - Proudly Desi
40, Punjab Grill Ambience
41, The Whisky Bar
42, Threesixtyone Degrees
43, Norenj - Cocktail Kitchen Bar
44, Dunkin' Donuts
45, Gravity Space Bar
46, Zambar
47, Om Sweets
48," Absolute Barbecues - MGF Metropolis Mall, Gurugram"
49, Prego
50, Johnny Rockets
51, Cafe StayWoke
52, Khan Chacha
53, Om Sweets & Snacks
54, Warehouse Cafe
55, Culinary Blend
56, EEST - The Westin Gurgaon
57, After Stories
58, Zizo
59, Gurgaon Pub Exchange
60, Café Rouge
61, Prankster
62, Saints n Sinners
63, Not Just Paranthas
64, The BrewHouse
65, AMPM Ambience Mall
66, Howzatt
67, Bikanervala
68, Qwinnys
69, IHOP
70, Keralicious
71, The Hook
72, People's Cafe
73, Wokamama
74, Swagath
75, Oishii Wok
76, Mainland China
77, Mr. Mamagato
78, rThe Nook
79, Chaayos
80, Brewocrat
81, Latest Recipe
82, Downtown - Diners & Living Beer Cafe
83, Cervesia
84, Paul Bakery
85, Brewer Street
86, Fresco
87, Lock UP Restaurant
88, California Pizza Kitchen
89, Drift
90, Dine Esty
91, Cilantro
92, Park Balluchi
93, Cicchetti By Mr.Beans
94, The Barbeque Company
95, Firangi Bake
96, Thai Pavilion
97, Spaghetti Kitchen
98, RBG Bar & Grill
99, Asia Seven
100, Barbeque Nation
101, Dhaba - Estd 1986 Delhi
102, Amaranta
103, Sankalp Restaurant
104, Sandburg Shakes
105, Duty Free Vayu Bar
106," Pepper Pot - The Terrace Café Sector 56, Gurgaon"
107, Sublym
108, Yum Yum Cha
109, Dana Choga's Kitchen
110, Dos Burros
111, Karim's
112, The Lobby Lounge
