,name
0, Kebabsville
1, Sanchi
2, Pizza Hut
3, Prashant Restaurant
4, Cream Centre
5, Salt n Pepper
6, Chotiwala
7, The Beer Cafe
8, Vidorra
9, Shreemaya Celebration
10, Madni Non Veg
11, Chopstick City
12, Ni Hao
13, Joshi Dahi Bada House
14, Shree Gurukripa
15, Ginger Ganesha
16, Indore Kitchen Restaurant
17, Shreemaya Celebrity
18, Sheesha Sky Lounge
19, Neelkamal Bhojanalaya
20, Cafe Terazza
21, Bake N Shake
22, The Square - Sayaji Hotel
23, Fagun Restaurant
24, Gurukripa Restaurant
25, Alav
26, 56 Dukan
27, johny hot dog
28, Nafees Restaurant
29, Mediterra at Sayaji Hotel
30, The Groundbaking Co.
31, Chick'N 'serve
32, Restaurant Shreemaya
