,name
0, Cafe G
1, Biryani Blues
3, The Great Kabab Factory
4, Artusi Ristorante in Piazza
5," Cocktails & Dreams, Speakeasy"
6, Friction The Drinkery
7, Ryu Bar
8," The Beer Cafe, CyberHub"
9, Burma Burma Restaurant and Tea Room
10, Viet:nom
11, George
12, Dana Choga
13, Nagai
14, Dhaba by Claridges
15, Naivedyam
17, Helix - The Celestial Bar
18, Sahib Sindh Sultan
19, Zanotta
20, Culture Gully
21, Sakley's - The Mountain Cafe
22, Karnataka
23, Daryaganj Restaurant (Ambience Mall)
24, Burger Hut
25, Green House - The Beer Garden
26, Striker Pub and Brewery
27, Sandhouse Cafe
28, Town Hall
29, Vapour Grill
30, Pra Pra Prank
31, Big Wong
33, Saleem Javed Rule The Rolls
34, Fresc Co
35, Cafe NH8
36, Panchavati Gaurav
37, Haldiram's
38, Salad Days
39, Hyatt Regency
40, Strikers Skybar
41, Mala-Akbari
42, Panchgaon - Proudly Desi
43, Punjab Grill Ambience
44, The Whisky Bar
45, Threesixtyone Degrees
46, Norenj - Cocktail Kitchen Bar
47, Dunkin' Donuts
48, Gravity Space Bar
49, Zambar
51, Om Sweets
52," Absolute Barbecues - MGF Metropolis Mall, Gurugram"
53, Prego
54, Johnny Rockets
55, Cafe StayWoke
56, Khan Chacha
57, Om Sweets & Snacks
58, Warehouse Cafe
59, Culinary Blend
60, EEST - The Westin Gurgaon
61, After Stories
62, Zizo
63, Gurgaon Pub Exchange
64, Café Rouge
65, Prankster
66, Saints n Sinners
67, Not Just Paranthas
69, The BrewHouse
70, AMPM Ambience Mall
71, Howzatt
73, Bikanervala
74, Qwinnys
75, IHOP
76, Keralicious
77, The Hook
78, People's Cafe
79, Wokamama
80, Swagath
81, Oishii Wok
82, Mainland China
83, Mr. Mamagato
84, rThe Nook
85, Chaayos
86, Brewocrat
87, Latest Recipe
88, Downtown - Diners & Living Beer Cafe
89, Cervesia
90, Paul Bakery
91, Brewer Street
92, Fresco
93, Lock UP Restaurant
94, California Pizza Kitchen
95, Drift
96, Dine Esty
97, Cilantro
98, Park Balluchi
99, Cicchetti By Mr.Beans
100, The Barbeque Company
101, Firangi Bake
102, Thai Pavilion
103, Spaghetti Kitchen
104, RBG Bar & Grill
105, Asia Seven
106, Barbeque Nation
108, Dhaba - Estd 1986 Delhi
109, Amaranta
110, Sankalp Restaurant
111, Sandburg Shakes
112, Duty Free Vayu Bar
113," Pepper Pot - The Terrace Café Sector 56, Gurgaon"
114, Sublym
115, Yum Yum Cha
116, Dana Choga's Kitchen
117, Dos Burros
118, Karim's
119, The Lobby Lounge
