,name
0, Kangan
1, Hotel Green Park Restaurant
2, New Yorkers
3, Surve's Pure Non-Veg
4, King's Persian Bistro
5, Satguru's Punjabi Rasoi
7, Abhishek Veg Restaurant
8, Latitude
9, Tareef
10, Nisarg
11, TGI Friday's
13, Ya Basa
14, Nawab of Asia
15, Baghban
16, Yolo Gastro Lounge
17, Whispering Bamboo
18, Penthouze
19, Squisito
21, One O Eight Cafe
22, Coriander Kitchen
23, Incognito
24, New Sarovar Restaurant
25, The Northern Frontier
26, Poona Republic
27, Durwankur Dining Hall
28, Dalchini
29, Zeera
30, The Gazebo World Of Veg
31, NH 37 Dhaba
32, Cafe 1730
33, Mother's Kitchen
34, Mainland China
36, Yana Sizzlers & Wok
38, Asha
39, Cream Corner
40, Masemari
41, Baan Tao
42, Hidden Place - The Hangout
43, Trikaya
44, Bedekar Misal
45, German Bakery Wunderbar
46, McDonald's
48, Zamu's Place
49, Wah Marathi Dine N Wine
50, Banjara Hills Restaurant
51, Shree Baba Ramdev Dhaba
52, Bounty's
53, 24/7 Gallery Cafe Hyatt Place Pune
54, Autobahn
55, Sorriso
56, South Indies
57, 4 Seasons Pune
58, Gajalee
59, Miyuki
60, Atmosphere 6
61, Sigree
63, Shahji's Parantha House
64, Turque
65, Shizusan
66, Venky's Xprs
67, Chili's
68, Mi-A-Mi
69, Toit - Pune
70, Puran Da Dhaba
71, Fly High
72, The Grand Buffet - Barbeque Destination
73, Nawab Asia
74, Aaoji Khhaoji
75, Oriental Connexions
76, Ebony
77, Le Courtyard Marriot
78, Kata Kirr
79, Pizza Hut
81, Royal China (Cloud Kitchen)
82, Square
83, Food Music Love - FML
84, Rahul Restaurant And Bar
85, Le Plaisir
86, Basho's
87, Texas Tower
88, Krishna Dining Hall
89, Olive Bistro
90, Siya
91, Kwality Restaurant
92, Hotel Bhairavee
93, Jayashree Garden
94, Mahesh Lunch Home
95, Mr. Rabbit's Bar & Burrow
96, Rajdhani Thali
98, Shivar Garden
99, Seasonal Tastes
100, Mayur Thali
101, Hotel Panchavati Gaurav Restaurant
102, SP's Biryani
103, Bar 101
104, Stone Water Grill
105, Blue Water Restaurant
106, Sarangi Restaurant
107, Wtf!
108, Irani Cafe
109, Mad House Grill
110, Wadeshwar
114, Savya Rasa
